,name,Air,Energi,Protein,Lemak,Abu,Karbohidrat,Serat Total,Gula Total,Kalsium (Ca),Besi (Fe),Magnesium (Mg),Fosfor (P),Kalium (K),Natrium (Na),Seng (Zn),Tembaga (Cu),Mangan (Mn),Selenium (Se),Vitamin C,Tiamina (B1),Riboflavin (B2),Niasin,Pantotenat (B5),Vitamin B6,Folat Total (B9),Kolina,Vitamin B12,Vitamin A IU,Vitamin A RAE,Retinol,a-karoten,b-karoten,b-kriptosantin,Likopen,Zeaksantin + Lutein,Vitamin E,Vitamin D,Vitamin D IU,Vitamin K,Lemak Jenuh,Lemak Tunggal,Lemak Ganda,Kolesterol
102,Korean Spicy Chicken,52912,448649,8652,26431,12622,4889,6654,11585,168255,6083,85742,177414,225257,110174,1844,669,4237,18001,9812,282,117,3405,351,381,39357,21793,8,89322,567,1688,6212,47196,-12,1272,20101,205,19,517,3043,7582,9805,7715,6916
103,Korean Spicy Chicken,52776,44869,8536,2645,12582,48932,6708,11446,168344,5993,85896,177327,225167,110169,1891,73,4332,1794,9792,229,9,3474,352,369,39391,21908,1,89396,5644,158,6382,47157,-65,1177,2005,1953,6,492,2959,7562,9904,7666,699
104,Korean Spicy Chicken,52896,448617,873,2659,12603,4889,6639,11441,168393,6062,85839,177485,225219,11019,1836,651,4293,17939,9751,27,137,3498,271,318,39206,21913,8,89381,5711,1662,6259,47257,-93,1108,20081,2081,-43,522,3017,7524,997,7702,7022
105,Korean Spicy Chicken,52947,44859,8655,26512,12689,48796,6667,11496,168313,6076,85773,177422,225274,110308,1918,72,4387,17993,9665,313,194,3406,291,352,39207,2185,106,89302,5772,1646,6361,47291,34,1251,2008,1906,-1,469,3092,7619,9979,7767,6983
106,Korean Spicy Chicken,52847,448583,8628,2640,1274,48874,6649,11526,168348,5916,8587,177326,225167,110251,1935,728,4369,17995,982,22,149,3468,388,465,39228,21869,152,89228,5684,1546,6293,47133,-54,1164,19959,2033,19,473,3012,7447,984,7863,7066
107,Korean Spicy Chicken,52843,448634,8727,26531,12668,48796,6795,11447,168358,6063,85705,177482,225328,11031,1795,702,4345,17865,9716,152,233,3338,347,358,39389,21949,121,89276,5667,1522,6334,47237,-24,1112,2003,2037,-32,563,300,7558,9966,7717,7047
108,Korean Spicy Chicken,5294,448674,8615,26509,12644,4881,6712,11519,168281,6027,8578,177466,225159,110306,194,701,4373,17887,9632,148,197,3422,304,466,39335,21798,10,89392,5718,1604,6325,47192,-5,1237,20059,1985,0,426,2992,7569,9799,7766,6991
109,Korean Spicy Chicken,52898,448524,8627,26559,1275,48932,6736,11553,168222,600,85733,177493,225144,110297,193,599,4324,17854,9825,22,119,3421,316,297,39208,21938,5,89263,5754,154,6344,47191,6,1305,1996,204,-16,486,3134,7631,9836,7783,6928
110,Ayam Telur Asin,39575,2000,9912,4667,31921,32257,834,659,1359,5633,374,1659,1364,477761,1163,3534,1567,1647,965,1351,218,15671,7172,2617,387,1113,333,767043,536,535,38,12,42,0,1249,375,65,265,51,15096,1692,9102,1365
111,Ayam Telur Asin,39571,200021,9894,4745,31884,32323,8258,58,135926,5672,37342,165803,136308,47856,1097,361,1632,16545,9665,145,209,1663,641,267,38641,111229,261,76784,5363,53406,3733,1173,4199,-96,124983,461,656,26496,513,1544,1613,941,13651
112,Ayam Telur Asin,39529,20008,9935,4601,3201,32229,8319,671,13599,5556,37497,165904,136414,47747,1068,285,1574,16436,9708,229,138,1627,682,282,38682,111386,389,76605,53597,53526,3744,1187,4234,-9,124905,40,658,26438,578,1485,1772,855,136482
113,Ayam Telur Asin,39648,200034,999,4641,31891,32285,8261,746,135893,5622,37378,165804,136322,47724,1109,378,1521,16459,9657,141,303,1537,628,214,38758,111385,247,76792,53656,53415,3819,1207,4165,-1,124998,412,647,26555,582,1549,1616,842,136547
114,Ayam Telur Asin,39596,20006,9925,4659,31942,32201,8391,756,135926,5534,37374,165899,136304,47803,1245,289,1601,16468,9698,16,274,1503,695,346,3865,111295,38,76771,53665,53575,3778,1169,4247,5,124969,301,591,26583,572,1498,1791,873,136425
115,Ayam Telur Asin,39584,200005,9814,4616,31901,32206,8379,573,135855,5689,37428,165971,136429,47695,1082,327,1546,16378,9714,55,275,159,692,291,38731,111361,345,76647,53635,53473,3781,1224,4246,2,12500,355,664,26578,596,1429,1618,981,136512
116,Ayam Telur Asin,39592,200006,9882,4736,31878,32299,8318,562,135869,5665,37486,165963,13644,47823,1082,405,1549,16495,9627,94,218,1614,81,18,38748,111223,336,76668,5362,53428,3835,1252,4242,-9,124887,363,707,26595,573,1518,1685,904,136432
117,Ayam Telur Asin,3963,199963,9879,4712,31873,32232,8429,642,13588,5549,37478,165997,136352,47734,1249,29,1531,16531,9654,136,241,1573,735,334,38798,111201,401,7666,53594,53454,3784,1211,4253,44,12496,39,599,26435,537,152,1599,85,136517
118,Ayam Telur Asin,39521,199935,9924,4571,3192,32175,8256,741,135824,5568,3741,165863,136324,47735,1086,446,1617,16538,9598,39,12,1658,764,305,38669,111319,235,76634,53631,53552,3773,1112,4281,-83,124848,303,609,26447,424,1542,1666,1007,136409
119,Ayam Telur Asin,39546,199971,9876,4717,32007,32314,8426,726,135834,5729,3738,165821,136401,47744,1261,385,1613,16555,963,196,274,1556,713,219,38648,111273,262,76656,53666,53434,3728,1173,4219,-44,124927,43,666,26408,535,1516,1641,909,136501
120,Yakitori Ayam,24986,1629,6277,2313,11787,34141,791,11843,885,6032,561,1019,8966,253758,1203,2612,41466,968,681,731,1827,29231,4781,4765,146,192,37,141921,103463,16,595,50162,6186,0,36844,3031,1,5,1316,6284,3878,10476,70
121,Yakitori Ayam,24934,162958,6308,2301,11745,34237,7881,1190,88452,613,56022,101815,89672,25288,1209,205,4188,9718,6901,172,201,2998,38,378,14551,19226,86,14155,10441,1594,59513,493,629,21,3724,2967,-71,464,13253,629,316,1127,7085
122,Yakitori Ayam,25003,162844,6257,2394,11814,3419,7832,11859,88451,5937,56132,101808,89731,25365,1256,199,424,9615,683,147,138,2998,472,465,14617,19138,57,1414,10378,1533,59589,4957,681,-53,3753,3072,95,573,13115,668,346,972,7036
123,Yakitori Ayam,24919,162825,625,2268,11752,34089,7899,11929,88432,6076,56154,101916,89591,25406,1172,25,4199,961,6878,132,247,3019,542,51,14541,19115,123,14095,10347,1587,59544,5014,689,-44,3586,3123,-87,533,13152,646,391,1136,7055
124,Yakitori Ayam,24995,162952,6369,2347,11724,34204,7838,11822,88448,6126,5607,10190,89705,25282,1279,34,4064,9661,6865,7,144,3008,433,442,14638,19278,2,14209,10246,1597,59476,5042,685,-85,3631,3049,-7,535,1318,544,459,1076,7007
125,Yakitori Ayam,25039,162998,6303,225,1175,34175,7909,11928,88545,6072,56143,101969,89561,25317,1172,319,4197,9765,6775,-1,193,2935,398,44,1453,19179,5,14181,10429,1547,59418,4967,713,-62,3781,3034,2,588,13195,538,382,1046,6924
126,Yakitori Ayam,24924,162811,6265,2398,11848,34172,7902,1180,88477,5984,56154,101981,89655,25433,1117,249,4237,9702,6809,139,281,2989,436,518,14549,1927,125,14184,10395,1575,59409,5058,529,-98,3629,3124,-62,539,1316,693,329,1067,7061
127,Yakitori Ayam,25033,162905,6281,2301,1182,3408,7851,11853,8846,6027,56116,101902,89717,25454,1197,28,4101,9601,674,43,158,2843,398,493,14518,19294,-15,14263,10341,1505,59552,5051,584,5,366,2967,-38,599,13224,698,387,964,6981
128,Yakitori Ayam,25078,162877,6205,2319,11702,34094,7972,11783,88487,608,5617,10199,89657,25452,1239,185,411,9735,6717,95,145,3008,483,543,14677,19153,-15,14262,10281,1689,59585,511,564,-51,3685,3128,0,401,13183,532,458,1111,7037
129,Yakitori Ayam,2506,162902,6281,2303,11789,34126,7829,11873,88445,6096,56039,101859,89608,2528,121,228,4155,9743,6792,14,129,2886,472,52,14518,19121,-7,14271,10444,1671,59424,4947,578,-87,374,2983,31,472,1324,558,422,1116,6961
130,Koloke Ayam,103919,2530,8594,1624,11534,53834,571,15186,814,3098,467,1483,3367,1334758,104,2719,10972,1345,375,2107,1997,24417,515,5047,358,218,46,2423706,968,16,186477,1306285,47,13062,152371,449,1,5,448,3037,3921,6311,70
131,Koloke Ayam,103914,253036,8549,1681,11591,53876,5757,15102,81382,3017,46627,148371,336757,133504,985,27,1131,13432,3754,272,236,2532,603,452,35848,2171,24,242306,96851,1539,18689,130567,4628,1269,152307,486,-56,49,450,28,374,659,6949
132,Koloke Ayam,103832,25294,855,1674,11555,53878,5641,15192,81485,3031,46691,148365,336676,133419,1101,183,1019,13411,37498,149,215,2373,487,457,35739,21755,-4,242282,96854,169,18579,130619,4724,1354,152347,53,91,465,4574,255,446,688,694
133,Koloke Ayam,103974,252986,8648,1627,11439,53913,5789,15111,81489,3007,46693,14840,336785,133561,1067,224,1043,13521,37524,253,212,2528,599,543,35874,21822,28,242348,96809,1662,18684,130612,465,1261,152389,39,18,436,4383,365,297,678,6944
134,Koloke Ayam,103947,252907,8633,1641,11454,53835,5755,1515,81333,3043,46738,148397,336671,133493,1112,235,1051,13412,37456,187,193,2386,475,497,35882,21749,121,242397,96742,1606,18658,130614,4652,1317,152396,394,15,543,4477,229,354,637,7003
135,Koloke Ayam,103909,25302,8638,1719,11631,53812,5776,15228,81382,314,46605,148302,336743,133488,974,368,1122,1355,37595,275,143,2497,523,561,3588,21756,114,242457,96719,1501,18735,130579,4648,1326,152322,528,-58,442,4483,239,413,714,6926
136,Koloke Ayam,103905,252942,8566,1565,11483,53773,5685,15221,81446,3007,46675,148221,336613,13343,1089,353,1155,13355,3744,286,198,2523,54,502,35726,2181,-18,242366,96705,1689,18723,130708,4644,1271,152287,533,62,489,4438,304,436,537,6939
137,Koloke Ayam,104005,252956,854,1558,11592,53736,5674,15204,81351,3112,46651,148288,336691,133388,947,293,1135,13535,3749,189,145,2399,608,425,35824,21841,114,242418,96838,1695,18615,130633,4794,1273,152288,456,-17,452,4448,316,427,57,6914
138,Koloke Ayam,103974,253066,8663,1532,11488,53929,5703,15193,81364,3037,4665,148216,336727,133451,1096,305,1086,1344,37521,192,103,2459,481,552,35892,2176,108,242335,96817,1686,18693,130655,4667,1292,152391,417,-85,413,4475,258,382,645,6959
139,Koloke Ayam,103987,252993,8553,1541,11549,53763,5717,15147,81393,3123,46743,14840,336708,133401,979,345,1133,13417,37585,215,177,2408,555,47,35722,21817,2,242351,96783,1523,18645,130657,4653,1329,152428,396,15,491,453,348,474,666,6934
140,Sate Lilit,31797,2793,7073,15562,12157,3348,541,5543,1385,8815,797,1287,2862044,587758,1459,2263,79651,2053,1705,66,128,3763,2469,6345,408,1723,235,650185,360,22,0,29,0,0,24,1674,2,82,117,87663,41275,15607,47
141,Sate Lilit,31817,279335,6978,15592,12163,33412,5433,5579,138559,8724,7976,128718,286263,58769,136,153,806,2055,17146,105,79,380,237,733,40718,17161,175,64964,36016,2192,17,2992,-33,31,2395,1728,30,8213,1097,8733,4189,1505,4679
142,Sate Lilit,31801,27925,7031,15582,12219,33499,5333,5594,138408,8902,79697,128702,286165,58706,1535,205,7958,20553,17053,139,73,3752,161,702,40888,17298,332,64997,35935,2134,82,2844,77,-44,2467,1726,211,8119,1211,8787,4219,1579,469
143,Sate Lilit,31885,279271,7018,15628,12204,33533,5461,5536,138582,8761,79634,128698,286279,58839,1448,187,7922,20474,17012,-6,88,3712,234,606,40737,17234,212,64957,35934,2165,51,2843,67,-2,2362,1629,193,8216,1185,8751,4194,1535,4698
144,Sate Lilit,31818,279397,7123,15591,12257,3357,5342,5552,138477,8818,79763,128637,286229,58831,1394,17,8031,20488,17025,8,33,3853,268,646,40841,17263,311,65118,35924,218,-73,2868,14,-86,2473,1632,191,8107,1183,876,4165,1594,4767
145,Sate Lilit,31746,279241,7064,15517,1214,33425,545,562,138551,8877,79667,128784,286279,58846,1429,159,8023,20556,17124,9,187,3813,256,632,40899,17237,169,64936,35926,216,-97,2958,-55,15,2321,176,294,8284,1149,8729,4033,1531,4756
146,Sate Lilit,31839,279374,7072,15464,12152,33472,541,5599,138477,8832,79608,128741,286191,58773,1462,207,8045,20606,1698,118,112,3709,265,598,40869,17212,296,64994,36034,2241,-6,2903,73,-36,2307,1694,203,8214,1242,885,4076,1594,4618
147,Sate Lilit,31855,279387,7082,15599,12114,33523,5346,5566,138552,8841,79705,128663,286226,58822,1463,192,7865,20453,17084,68,121,3818,267,649,40766,17138,251,65076,36062,2126,21,2929,-1,-85,2408,1659,201,8132,1144,8689,4044,1483,4681
148,Sate Lilit,31703,279306,7018,15606,12192,33518,5416,5586,138419,8726,79646,128701,286139,58753,1432,196,7979,20486,16954,34,57,3781,195,645,40754,17186,206,6508,35956,2219,-81,2906,75,53,2429,158,256,8271,120,8776,4221,1606,4614
149,Sate Lilit,31764,279354,7087,15528,12173,33418,5382,549,138565,8851,79763,128745,286246,58818,1442,307,8007,20594,17018,4,71,3785,183,541,40776,17148,157,65019,36083,213,-7,2918,-97,43,2459,1763,215,818,1083,8722,4077,1645,4659
150,Chicken Cordon Bleu,62644,3731,13169,17863,22359,42757,826,1848,1811,5702,494,2594,2492193,2204709,1491,3455,13138,1798,2011,2478,2473,2793,6001,3639,850,5563,338,1487457,1622,343,3776,88386,9,0,808561,21,24,99,1864,73503,50726,16376,559
151,Chicken Cordon Bleu,62729,373178,13176,17863,22358,4276,8293,1791,18105,5682,49384,259324,24920,220434,1518,279,124,18036,20146,307,234,2823,532,346,85093,55644,406,148827,162182,34285,441,8779,934,13,80837,2032,34,9838,18601,7384,506,1683,55913
152,Chicken Cordon Bleu,62677,373086,13226,17876,22297,42685,8281,1895,181198,5763,49401,259433,249292,220553,1488,301,1229,18052,20039,213,225,2844,561,435,8503,55695,369,14871,162123,34351,313,8838,805,-53,80802,2018,318,9858,18555,7359,5115,1662,55802
153,Chicken Cordon Bleu,62711,373086,13204,17918,22294,42706,8297,1924,181158,5632,49329,259425,249128,220434,1394,308,1339,17977,20083,17,297,2833,637,296,8499,55545,275,148726,162152,3436,30,8798,833,6,80929,2156,304,9959,18597,7266,5128,1592,55969
154,Chicken Cordon Bleu,6273,373196,13201,17862,22273,42799,8302,1905,18111,5624,49389,259309,249235,220398,1585,407,1244,18019,20074,322,333,2708,67,393,84977,55718,378,148706,162165,34376,293,8902,815,93,80898,2132,315,999,18633,7284,505,1678,55906
155,Chicken Cordon Bleu,62714,373187,13243,17779,22316,42853,8249,1771,181135,5696,49441,259374,249226,220537,1532,426,137,1805,20127,204,222,2769,593,276,84936,55676,295,148679,162146,34337,351,8802,953,-1,80888,2092,29,9965,1866,7445,5012,1679,55997
156,Chicken Cordon Bleu,62681,373006,1319,17954,22288,42756,8329,1823,18111,5694,49313,259367,249252,220404,1485,356,1252,17894,20081,347,278,2702,565,457,85028,55612,269,14866,16214,34241,382,8783,883,-46,80925,2172,18,9839,18706,7348,5001,1593,55899
157,Chicken Cordon Bleu,62681,373129,13119,17776,22426,42838,8269,1788,181003,5666,49476,259472,249239,220466,1588,438,1256,18037,20012,185,196,2709,566,343,84954,55675,373,148723,162281,3433,38,8806,919,-6,80841,213,16,9967,18646,7416,5154,1706,55809
158,Chicken Cordon Bleu,62708,373128,13159,1781,22306,42795,8192,1822,181084,5658,49454,259367,249157,220457,1407,308,1409,18012,20041,248,311,2798,645,358,8493,55716,371,148733,162292,34366,447,8788,939,-47,80804,2115,158,9961,18601,726,5046,1639,55959
159,Chicken Cordon Bleu,62672,373109,13143,17768,2228,42786,8251,1783,181008,5608,49413,25935,249151,220528,1567,377,1401,17974,20134,165,347,2864,553,332,85098,55648,412,148693,162237,34349,407,8784,948,42,80787,2005,182,9891,18632,7376,5053,1586,55878
160,Sate Ayam Madura,58325,4006,10243,28545,11403,30989,542,12867,969,3064,556,1564,3351,1164758,1253,4099,12237,648,1319,193,869,34548,6571,4433,582,2453,47,131577,837,784,0,656,0,0,48,3637,1,5,154,80194,126899,63281,70
161,Sate Ayam Madura,58264,400503,1020,28631,11394,31072,5351,12827,9684,3161,55517,156434,335064,11640,1224,397,1259,6444,1318,289,31,3393,649,512,58254,24473,78,13177,83728,78396,49,65635,18,86,4788,3685,8,55,151,8024,12618,6236,7094
162,Sate Ayam Madura,58264,400524,10285,28634,11477,30957,5452,1279,96837,301,5560,156384,335176,116501,1156,396,1283,6528,13205,178,53,3456,723,463,58131,24459,7,13156,83713,7847,-10,65629,95,3,4887,359,46,551,1508,8047,12746,638,6992
163,Sate Ayam Madura,58382,400516,10204,2858,11372,31088,5374,12916,9692,3092,5562,156342,335071,11657,1171,484,1309,6412,1318,112,183,3491,558,474,58206,24446,-43,13253,83764,78307,-22,65588,-1,4,4853,3605,-3,544,1542,7937,12748,6288,7097
164,Sate Ayam Madura,58357,400567,10148,28564,11419,30994,538,12933,96968,3067,55509,15633,335013,116377,123,424,1212,6513,13201,111,123,3546,68,48,58185,24475,56,13081,8379,78411,72,65554,57,57,4812,3596,-58,455,1625,794,12605,6284,7099
165,Sate Ayam Madura,58336,400543,10241,28603,11414,31012,535,12821,96836,3156,55503,156424,335085,116571,1351,372,1287,6535,13214,174,-13,3528,695,438,58279,24531,59,13237,83679,78434,56,65501,-23,-86,4814,3583,6,567,1585,8059,1274,6385,6927
166,Sate Ayam Madura,58376,400549,10199,28634,11462,30996,5365,1281,96888,3028,55652,156467,335045,116503,1253,386,1269,6414,13223,109,28,3534,587,349,58194,24626,16,13125,83633,78426,63,6555,16,96,4872,3614,72,453,1607,7945,12734,6344,6961
167,Sate Ayam Madura,58323,400694,10273,28451,11349,31026,5377,12781,96815,3134,55621,156302,335126,116545,1353,338,1203,6519,13222,222,139,3364,623,49,58216,24515,56,13193,83644,78358,-51,65687,-35,99,4851,3723,-15,413,1502,8043,12627,6244,701
168,Sate Ayam Madura,58301,400565,10193,28518,11502,31057,5472,12777,96881,3049,55642,156466,335156,116452,1245,365,1226,6544,13183,264,116,347,717,357,58175,24599,71,13128,83727,7838,74,65695,-33,-6,4772,3575,-78,577,1492,8056,12656,6383,6928
169,Sate Ayam Madura,58401,400584,10189,28452,11494,30959,5426,12805,96988,3108,55691,156421,335089,116452,1281,508,1259,641,13175,157,142,3463,622,398,58224,24462,-23,13098,83656,78374,1,65682,38,13,4776,3725,-13,458,1532,7964,12776,6231,6932
170,Ayam Betutu,51182,2793,9276,5816,13227,59414,1473,11969,2842,12863,1345,1800,268864,413758,212,5387,96344,1279,3872,1027,203,26654,4302,6316,486,102,111,2905185,647,232,48,903,65,20,1187,207,0,0,1816,14002,23858,12592,90
171,Ayam Betutu,51275,279221,9209,5741,13261,59508,14653,1206,284192,1282,134481,179926,268816,41338,2073,443,9564,12708,38728,69,107,2616,424,665,48512,1021,141,290427,64793,23169,4721,9023,6526,1981,118754,125,7,-51,18126,1372,2326,1348,8996
172,Ayam Betutu,51219,279321,9213,5793,13309,59362,14813,11933,284198,12879,134412,179954,268928,41303,2136,45,970,12822,38803,13,107,2617,517,69,48693,10158,138,290421,64655,23188,4898,90205,647,2037,118736,246,-74,4,1826,1498,2375,1193,8945
173,Ayam Betutu,51281,279318,937,5824,13221,59325,14808,11899,284212,12881,134586,180036,268924,41353,2032,624,9557,12779,38756,196,16,2647,475,726,48616,10171,158,290459,64782,23184,4848,90348,6574,2012,118653,288,79,-71,18251,1394,2357,1177,8925
174,Ayam Betutu,51082,279244,9344,5745,13216,59444,14795,11976,284294,12953,134456,179947,268923,41407,2037,523,9707,12866,3867,88,105,2635,394,65,48633,10201,108,290478,64712,23194,4784,90358,6421,206,11871,235,-65,4,18184,1485,244,1332,9001
175,Ayam Betutu,51177,279259,9364,5891,13136,59486,14722,11908,284132,12776,134566,180077,268838,41387,216,576,9647,12806,38791,121,233,2655,393,718,48558,10163,55,290503,64653,23281,4847,90347,6552,1985,118638,246,62,-9,18209,1436,2401,1185,8925
176,Ayam Betutu,51217,279392,9285,5866,13235,59417,14778,11908,284193,12917,134442,179919,268931,4146,2046,54,9664,12805,38792,84,171,2683,366,721,48677,10287,35,290547,64626,23294,4842,9034,6536,1949,11880,183,-28,63,1819,1473,2363,124,900
177,Ayam Betutu,51091,279365,9315,5877,13192,5948,14682,11946,284162,12921,134451,179966,26893,41283,2072,451,9619,12791,38732,181,257,2632,445,699,48528,10154,15,29048,64666,23275,4858,90347,6488,2081,118695,117,8,-48,18255,1436,2437,1185,9056
178,Ayam Betutu,51247,279287,9291,581,13152,59334,14807,11891,284143,1290,134569,179983,268801,41458,220,482,9665,1278,38787,41,141,2692,337,721,48687,10141,29,290593,64676,23114,4782,90395,6495,1968,118705,21,-2,16,18106,1416,2425,1199,8925
179,Ayam Betutu,51216,279317,9274,5788,13274,59462,14821,12006,284164,12841,134578,179935,26879,41335,2185,572,9711,12794,38685,152,277,2723,455,702,48607,10233,178,290558,64653,23213,4895,90217,6479,1955,11863,188,27,-92,18191,1311,2389,1284,8927
180,Nugget Ayam,42561,2189,757,4058,15736,3949,418,12883,847,3113,327,1312,1955,449633,783,1843,7648,1283,666,1652,2194,13311,5774,2436,388,773,208,1323706,1166,320,66477,111285,18,1,1286355,376,4,164,165,11146,14594,11439,757
181,Nugget Ayam,42469,21898,7664,4073,15723,39469,4117,12976,84757,312,32754,131296,195475,44954,816,283,673,12772,6625,235,31,1364,528,198,38725,77272,125,13239,116574,32099,6632,11109,1782,164,12860,30,43,16454,1611,115,1468,1127,75731
182,Nugget Ayam,42478,218836,7548,4133,15663,39554,4185,12951,84782,3104,32624,131217,195569,44865,824,129,755,12864,6623,239,272,1399,635,287,38835,77323,272,132316,116628,31915,6556,11048,1773,26,128574,306,306,16354,1646,1059,1374,1178,75713
183,Nugget Ayam,4257,218957,7501,3983,15716,39439,4092,12918,84791,3014,32789,131116,195429,4490,739,278,705,12736,6633,82,154,143,556,316,38758,77252,286,132343,116629,32094,6703,11211,174,6,128621,371,352,16493,1665,109,1505,1082,75628
184,Nugget Ayam,4265,21882,7656,4088,15759,39566,4154,12866,84797,3182,32642,131295,195535,44878,713,105,733,12899,661,252,141,1266,495,19,38771,77229,287,132297,116552,32064,6661,1121,1717,96,128542,329,448,16466,1696,1078,1508,1056,75743
185,Nugget Ayam,42554,218939,7489,4135,15755,39401,4225,12831,84675,3126,32615,131264,195438,44875,702,119,817,12857,6684,106,317,1383,618,331,3887,77256,116,132423,116649,31993,6645,11089,1797,119,128543,328,321,16316,1596,1158,1406,1232,75737
186,Nugget Ayam,42576,218818,7641,3985,15815,39482,4196,12793,8476,3103,32615,131178,195426,44969,876,192,79,12791,674,99,307,1237,532,257,38889,77328,166,132448,116618,31941,6642,11125,171,9,12857,323,377,16484,1646,1113,142,1053,75753
187,Nugget Ayam,42499,218964,7472,415,15821,39438,4202,12972,8475,3211,32714,131219,19545,44936,726,96,816,12819,6611,88,228,131,598,148,3880,77336,235,132397,11652,32087,6635,11106,1712,7,128593,301,351,16401,1586,121,147,1241,75622
188,Nugget Ayam,42652,218804,7552,410,15745,39526,4083,12785,84723,3149,3280,13116,195494,44949,699,164,837,12813,6641,166,238,1242,654,248,38701,77204,248,132292,116536,31925,6677,11191,1712,158,128693,286,478,1650,1698,102,1407,1198,75723
189,Nugget Ayam,42475,218951,7589,4086,1581,39472,4278,12965,84789,310,32659,131131,195487,44925,781,217,734,1278,6577,75,141,1361,556,232,38731,77224,108,132398,116531,31972,6585,11116,1785,181,128709,329,45,16458,1582,1176,1386,105,75795
190,Ayam Rica-Rica,61418,2387,4754,12106,11263,30505,251,12262,668,3515,396,856,251032,206758,105,1642,42593,1025,1133,716,719,19464,3332,4254,178,1743,31,252,45,41,0,67,0,0,48,167,2,10,159,56548,43831,14228,75
191,Ayam Rica-Rica,61422,238634,4683,12032,11209,30544,2419,12198,66782,3573,39507,85524,251021,20595,1004,115,4251,10342,11307,34,46,2041,299,501,17738,17423,8,25119,4402,4191,-6,6675,87,79,4742,1584,11,101,1584,5604,4474,1389,7452
192,Ayam Rica-Rica,61391,238657,4787,1208,11249,30578,2467,12168,66846,3582,39658,85562,251061,20739,1106,17,4343,10326,11257,34,139,1857,384,404,17898,17505,116,25285,4594,4075,-3,6686,5,25,4882,1639,-22,922,1631,5575,4418,1428,7563
193,Ayam Rica-Rica,61371,238749,477,1213,11303,30471,249,12358,66744,354,39672,85606,25096,20624,1069,234,4243,1030,11382,-25,94,2018,411,337,17739,17342,-24,2512,4488,4082,48,6636,75,-49,477,1699,-43,961,1636,5682,4437,143,7554
194,Ayam Rica-Rica,61415,23877,4754,12013,11306,30572,2562,12208,66792,3601,3957,85585,251076,20739,1116,96,4188,10264,11385,31,4,2003,313,475,17841,17429,14,25244,4486,4137,32,6732,-13,23,4816,1692,-16,1047,1589,5565,4358,1388,7486
195,Ayam Rica-Rica,61381,238787,4765,12195,11311,30488,244,12164,66756,3434,39575,85527,251006,20738,991,196,4214,10172,11261,24,96,1898,312,339,17758,17509,77,25217,4566,4056,2,6789,63,72,4808,1728,-26,1038,1675,5652,4314,1425,7433
196,Ayam Rica-Rica,61354,238763,4723,1208,11331,3053,2542,12355,66849,3524,39597,85551,251077,20599,96,99,4325,10324,1124,52,56,1983,261,407,17831,17358,0,2516,4415,4069,-52,6796,-35,54,4844,1712,68,983,1589,5628,4397,1384,7417
197,Ayam Rica-Rica,61511,23869,4769,12036,11326,30589,2459,12339,66899,3495,39563,85564,250972,20595,1052,203,4293,10283,11375,53,121,2043,263,472,17831,17405,15,25207,4588,4058,9,6657,-9,-39,4866,1579,1,964,1623,5675,4471,1401,7449
198,Ayam Rica-Rica,61404,238716,4753,12187,11338,30543,2442,12338,6680,3508,39543,85663,251076,20584,1008,192,4248,10153,11329,61,131,2041,276,372,17722,17378,4,25293,4424,4064,96,6757,-92,-75,4855,175,-75,1022,1492,5581,4414,1335,7496
199,Ayam Rica-Rica,61497,238681,4709,12061,1119,30541,2459,12313,66802,3608,39534,85565,25110,20691,1001,173,4259,10295,1142,31,25,1971,378,389,17771,1741,-56,25239,4557,415,-97,6675,47,69,4724,1656,-3,1096,1672,5623,4285,1384,7476
200,Rawon,72791,3670,8236,18016,22204,48842,711,24342,1328,5978,821,1616,2860587,1032516,2144,289,45545,1937,2352,1268,1608,22089,4433,3811,351,4763,782,1678163,402,192,36,578,52,0,13099,2248,21,85,874,71699,76606,18962,979
201,Rawon,72785,367055,8278,18048,22198,48841,7193,24289,13287,6073,82099,161585,286109,103162,2102,314,4589,1934,23554,37,232,2197,349,47,35167,47599,86,167787,40186,19196,357,57799,5234,16,130991,2278,276,8594,8825,7184,7732,1982,97846
202,Rawon,72723,36710,8227,18032,22177,48843,7026,24389,132884,5993,82122,161669,286103,103234,220,254,4584,19389,2352,4,124,2177,476,318,35034,47672,808,167727,40202,19241,357,57827,5114,93,130984,2343,221,8443,8642,7092,7572,1985,9785
203,Rawon,72873,367026,8164,17917,22238,48902,716,24433,132841,5968,82139,161502,286156,103214,2125,262,4555,19367,23572,125,189,2289,487,293,35009,4769,816,167764,40115,19132,3582,57727,5241,-42,130927,2289,26,840,8722,7073,7743,1962,97961
204,Rawon,72735,366924,8258,17959,22243,48831,7035,24416,132851,602,8204,161571,286135,103311,214,278,4485,19339,23423,175,124,2201,36,337,35182,47545,787,16778,40104,19261,3603,57886,5255,-92,131024,2216,181,8593,865,7091,7674,1909,97874
205,Rawon,72863,367096,8156,18047,2211,48756,7094,24305,132845,5887,82114,161511,286093,103299,2154,226,4498,19455,23574,144,113,2224,389,426,35191,47555,791,167832,4015,19195,3544,57825,5101,-95,130906,2154,186,8415,8739,7109,771,1935,97966
206,Rawon,72813,367007,8138,18109,22217,48841,7028,2429,132785,5893,82069,161584,285971,103232,2216,316,4585,19403,23576,179,10,2236,349,433,35065,47661,71,167743,4015,19226,3608,57827,5135,87,13100,2278,187,8521,8805,7214,7654,188,97835
