ID,Nama Bahan,Air,Energi,Protein,Lemak,Abu,Karbohidrat,Serat Total,Gula Total,Kalsium (Ca),Besi (Fe),Magnesium (Mg),Fosfor (P),Kalium (K),Natrium (Na),Seng (Zn),Tembaga (Cu),Mangan (Mn),Selenium (Se),Vitamin C,Tiamina (B1),Riboflavin (B2),Niasin,Pantotenat (B5),Vitamin B6,Folat Total (B9),Kolina,Vitamin B12,Vitamin A IU,Vitamin A RAE,Retinol,a-karoten,b-karoten,b-kriptosantin,Likopen,Zeaksantin + Lutein,Vitamin E,Vitamin D,Vitamin D IU,Vitamin K,Lemak Jenuh,Lemak Tunggal,Lemak Ganda,Kolesterol
1343,"Prego Pasta, Jamur dan Saus Italia Bawang Putih, Siap Disajikan","84,00",62,"1,54","1,92","2,38","10,00","2,3","7,69",15,"0,55",-,-,331,362,-,-,-,-,"0,9",-,-,-,-,-,-,-,-,385,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1344,"Sup, clam chowder, england baru, kalengan, disiapkan dengan susu rendah lemak dengan volume yang sama (2%)","85,49",61,"3,24","2,02","1,79","7,46","0,3","2,81",70,"1,21",12,173,179,273,"0,43","0,118","0,087","4,4","2,1","0,081","0,176","0,794","0,296","0,070",9,12,"4,84",127,37,37,-,2,-,-,1,"0,22","0,6",25,"0,5","1,094","0,268","0,513","7,00"
1345,"Prego Pasta, Jamur, dan Saus Italia Parmesan, Siap Disajikan","76,60",104,"2,40","2,80","0,60","17,60","2,4","10,40",48,"0,86",-,-,376,384,-,-,-,-,"1,0",-,-,-,-,-,-,-,-,600,-,-,-,-,-,-,-,-,-,-,-,"1,200",-,-,"4,00"
1346,"Prego Pasta, Saus Italia Jamur Organik, Siap Disajikan","84,50",72,"1,60","2,40","1,50","10,40","3,2","7,20",16,"0,58",-,-,360,376,-,-,-,-,"3,8",-,-,-,-,-,-,-,-,600,-,-,-,-,-,-,-,-,-,-,-,"0,400",-,-,-
1347,"Prego Pasta, Tomat Organik, dan Saus Italia Basil, Siap Disajikan","83,00",72,"1,60","2,40","2,50","10,40","3,2","7,20",32,"0,58",-,-,320,376,-,-,-,-,"4,8",-,-,-,-,-,-,-,-,600,-,-,-,-,-,-,-,-,-,-,-,"0,385",-,-,-
1348,"Prego Pasta, Heart Smart- Ricotta Parmesan Italian Sauce, Siap Disajikan","83,00",72,"2,40","2,00","2,00","10,40","2,4","8,00",48,"0,58",-,-,328,288,-,-,-,-,"1,9",-,-,-,-,-,-,-,-,400,-,-,-,-,-,-,-,-,-,-,-,"0,800",-,-,"4,00"
1349,"Prego Pasta, Bawang Putih Bakar dan Ramuan Saus Italia, Siap Disajikan","83,50",69,"1,54","2,31","2,50","10,00","2,3","6,92",15,"0,55",-,-,308,354,-,-,-,-,"1,8",-,-,-,-,-,-,-,-,577,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1350,"Prego Pasta, Saus Bumbu Parmesan Bawang Putih Italia, Siap Disajikan","83,70",77,"2,31","0,77","2,90","10,00","2,3","7,69",31,"0,55",-,-,308,369,-,-,-,-,"0,9",-,-,-,-,-,-,-,-,577,-,-,-,-,-,-,-,-,-,-,-,"0,385",-,-,"4,00"
1351,"Prego Pasta, Lada Merah Panggang-Cerdas, dan Saus Italia Bawang Putih, Siap Disajikan","83,50",56,"1,60","1,20","2,90","10,40","2,4","7,20",16,"0,58",-,-,328,288,-,-,-,-,"1,9",-,-,-,-,-,-,-,-,800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1352,"Prego Pasta, Tomat, Basil, dan Saus Italia Bawang Putih, Siap Disajikan","83,50",64,"1,60","2,00","2,90","9,60","2,4","7,20",16,"0,58",-,-,320,336,-,-,-,-,"1,0",-,-,-,-,-,-,-,-,400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1353,"Prego Pasta, Saus Italia Zesty Mushroom, Siap Disajikan","80,20",85,"1,54","2,69","1,72","13,85","2,3","9,23",15,"0,28",-,-,354,408,-,-,-,-,-,-,-,-,-,-,-,-,-,385,-,-,-,-,-,-,-,-,-,-,-,"0,769",-,-,-
1354,"Campbell's Chunky Mangkuk Microwave, Daging Sapi dengan Sup Sayuran Pedesaan, Siap Saji","85,30",61,"4,08","1,22","0,82","8,57","2,0","1,22",8,"0,29",-,-,-,367,-,-,-,-,"0,5",-,-,-,-,-,-,-,-,2.041,-,-,-,-,-,-,-,-,-,-,-,"0,612",-,-,"8,00"
1355,"Campbell's Chunky Mangkuk Microwave, Sup Ayam dan Pangsit, Siap Disajikan","84,70",78,"3,27","3,67","1,01","7,35","1,2","0,82",8,-,-,-,-,363,-,-,-,-,-,-,-,-,-,-,-,-,-,1.02,-,-,-,-,-,-,-,-,-,-,-,"0,816",-,-,"10,00"
1356,"Sup, krim jamur, kalengan, disiapkan dengan susu rendah lemak dengan volume yang sama (2%)","87,04",65,"2,36","3,58","1,26","5,76","0,3","2,82",68,"0,10",7,59,103,357,"0,31","0,013","0,025","2,7","0,1","0,026","0,104","0,214","0,255","0,027",3,13,"0,28",102,30,30,-,2,-,-,2,"0,26","0,7",29,"9,6","1,116","0,877","1,435","4,00"
1357,"Campbell's Chunky Mangkuk Microwave, Mie Ayam Klasik, Siap Saji","88,90",45,"2,45","1,22","1,30","5,71","0,8","1,22",8,-,-,-,-,322,-,-,-,-,-,-,-,-,-,-,-,-,-,1.224,-,-,-,-,-,-,-,-,-,-,-,"0,408",-,-,"10,00"
1358,"Campbell's Chunky Mangkuk Microwave, Ayam Panggang dan Sosis Gumbo, Siap Saji","87,80",57,"2,86","1,63","0,70","7,35","0,4","2,04",16,"0,15",-,-,-,318,-,-,-,-,-,-,-,-,-,-,-,-,-,163,-,-,-,-,-,-,-,-,-,-,-,"0,816",-,-,"6,00"
1359,"Sup, Krim Bawang, Kaleng, Disiapkan dengan Susu Volume yang Sama","84,50",75,"2,74","3,78","1,50","7,40","0,3",-,72,"0,28",9,62,125,405,"0,25","0,060","0,100",-,"1,0","0,039","0,110","0,244","0,280","0,030",9,-,"0,20",182,21,14,-,-,-,-,-,-,-,-,-,"1,630","1,320","0,640","13,00"
1360,"Sup, sup tiram, kalengan, disiapkan dengan susu volume yang sama","88,94",55,"2,51","3,24","1,34","3,99",-,-,68,"0,43",8,66,96,425,"4,22","0,655","0,151",-,"1,8","0,027","0,095","0,137","0,200","0,026",4,-,"1,07",92,23,22,-,-,-,-,-,-,-,-,-,"2,060","0,850","0,130","13,00"
1361,"Sup, kacang polong, hijau, kalengan, disiapkan dengan susu volume yang sama","77,93",94,"4,97","2,77","1,65","12,69","1,1",-,68,"0,79",22,94,148,352,"0,69","0,154","0,260",-,"1,1","0,061","0,105","0,528","0,220","0,041",3,-,"0,17",140,-,-,-,-,-,-,-,-,-,-,-,"1,580","0,860","0,210","7,00"
1362,"Campbell's Chunky Microwavable Bowl, New England Clam Chowder, Siap Saji","84,20",82,"2,45","4,90","1,11","6,94","1,2","0,41",33,"0,73",-,-,-,355,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,020",-,-,"4,00"
1363,"Campbell's Chunky Mangkuk Microwave, Sup Daging Sapi Sayur Kuno, Siap Saji","89,00",41,"2,86","0,61","1,41","5,71","1,2","1,63",16,"0,44",-,-,-,359,-,-,-,-,-,-,-,-,-,-,-,-,-,1.224,-,-,-,-,-,-,-,-,-,-,-,"0,204",-,-,"4,00"
1364,"Campbell's Chunky Mangkuk Microwave, Sirloin Burger dengan Sup Sayuran Pedesaan, Siap Saji","85,30",57,"3,27","1,43","2,40","7,35","1,2","1,63",8,"0,44",-,-,-,327,-,-,-,-,-,-,-,-,-,-,-,-,-,1.02,-,-,-,-,-,-,-,-,-,-,-,"0,612",-,-,"6,00"
1365,"Sup, krim kentang, kalengan, disiapkan dengan susu volume yang sama","86,67",60,"2,33","2,60","1,47","6,92","0,2",-,67,"0,22",7,65,130,230,"0,27","0,106","0,153",-,"0,5","0,033","0,095","0,259","0,680","0,036",4,-,"0,20",179,-,-,-,-,-,-,-,-,-,-,-,"1,520","0,700","0,230","9,00"
1366,"Sup, krim udang, kaleng, disiapkan dengan susu rendah lemak dengan volume yang sama (2%)","87,11",61,"2,78","3,23","1,46","5,64","0,1","2,62",69,"0,22",9,60,95,354,"0,54","0,051","0,152","3,5","0,1","0,028","0,107","0,211","0,237","0,034",4,12,"0,50",147,43,43,-,2,-,-,-,"0,02","0,6",25,"0,1","1,930","1,147","0,155","10,00"
1367,"Saus, putih, tipis, disiapkan-dari-resep, dengan mentega","84,02",72,"3,95","2,56","1,18","8,29","0,1","5,29",131,"0,22",12,110,167,184,"0,47","0,019","0,031","4,7",-,"0,068","0,208","0,319","0,392","0,037",10,-,"0,55",286,84,83,-,5,-,-,1,"0,08",-,-,"0,2","1,600","0,656","0,112","8,00"
1368,"Saus, manis dan asam, disiapkan dari resep","78,56",79,"1,84","0,58","1,90","16,72","0,4","10,81",16,"0,67",13,30,193,347,"0,18","0,100","0,247","1,6","5,0","0,042","0,063","1,178","0,057","0,087",10,-,-,110,6,-,2,65,-,2.032,1,"0,32",-,-,"1,0","0,144","0,253","0,117","1,00"
1369,"Saus, Barbekyu, Kraft, Asli","54,22",172,"0,74","0,62","3,65","40,77","0,4","32,26",47,"0,79",15,19,247,1.242,"0,16","0,091","0,126",-,"0,2","0,023","0,050","0,520","0,165","0,083",-,7,-,196,10,-,-,116,3,3.556,69,"0,66",-,-,-,"0,038","0,092","0,082",-
1370,"Campbell's, ayam dengan sup nasi, kental","83,15",68,"1,84","1,64","2,00","11,28","0,9","0,23",41,"0,25",10,42,34,645,"0,18",-,-,-,-,-,-,-,-,-,-,-,-,479,-,-,-,-,-,-,-,-,-,-,-,"0,520","0,690","0,370","4,00"
1371,"Campbell's Merah dan Putih, Chicken Won Ton Soup, Kental","89,10",40,"2,38","0,79","1,38","6,35",-,"0,79",-,"0,29",-,-,56,690,-,-,-,-,-,-,-,-,-,-,-,-,-,79,-,-,-,-,-,-,-,-,-,-,-,"0,397","0,397",-,"4,00"
1372,"Campbell's Merah dan Putih, Krim Sup Asparagus, Kental","83,90",89,"1,61","5,65","1,58","7,26","2,4","1,61",-,-,-,-,56,669,-,-,-,-,-,-,-,-,-,-,-,-,-,161,-,-,-,-,-,-,-,-,-,-,-,"1,613","0,806","3,226","4,00"
1373,"Sup, Pilihan Sehat Sup Ayam, Kalengan","89,73",41,"3,69","0,63","0,75","5,20","0,8","0,57",8,-,-,-,-,195,-,-,-,-,-,-,-,-,-,-,-,-,-,568,-,-,-,-,-,-,-,-,-,-,-,"0,400",-,"0,180","5,00"
1374,"Sup, Pilihan Sehat, Sup Ayam dan Nasi, Kalengan","90,31",37,"2,53","0,55","0,90","5,71","0,8","0,37",15,"0,09",-,-,-,181,-,-,-,-,"1,0",-,-,-,-,-,-,-,-,334,-,-,-,-,-,-,-,-,-,-,-,"0,170","0,230","0,130","7,00"
1375,"Sup, Healthy Choice Garden Vegetable Soup, Kalengan","86,82",51,"2,13","0,21","0,80","10,04","1,9","2,13",16,-,-,-,-,195,-,-,-,-,"1,0",-,-,-,-,-,-,-,-,618,-,-,-,-,-,-,-,-,-,-,-,"0,050","0,070","0,080","1,00"
1376,"Saus, Campbell's, Daging Sapi, Bebas Lemak","91,10",25,"1,69",-,"2,20","5,08",-,-,-,-,-,-,-,508,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1377,"Saus, Campbell's, Krim Gaya Country","86,80",76,"1,69","5,08","1,34","5,08",-,"1,69",-,-,-,-,-,322,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,695",-,-,"8,00"
1378,"Saus, Campbell's, Sosis Gaya Country","78,30",119,"3,39","10,17","3,06","5,08",-,"1,69",-,-,-,-,-,458,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,542",-,-,"17,00"
1379,"Saus, Campbell's, Ayam, Bebas Lemak","91,70",25,"1,69",-,"1,52","5,08",-,-,-,-,-,-,-,525,-,-,-,-,-,-,-,-,-,-,-,-,-,169,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"8,00"
1380,"Saus, Campbell's, Babi Emas","87,40",76,"1,69","5,08","0,74","5,08",-,"1,69",-,-,-,-,-,525,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,542",-,-,"8,00"
1381,"Saus, Campbell's, Jamur","91,90",34,-,"1,69","1,32","5,08",-,"1,69",-,-,-,-,-,475,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"8,00"
1382,"Saus, Campbell's, Kalkun, Bebas Lemak","90,60",33,"1,67",-,"1,07","6,67",-,-,-,-,-,-,-,483,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"8,00"
1383,"Saus, Campbell's, Daging Sapi, Microwave","90,00",42,"1,69","1,69","1,53","5,08",-,"1,69",-,-,-,-,-,475,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,847",-,-,-
1384,"Saus, Campbell's, Ayam, Microwave","88,50",67,-,"5,00","1,50","5,00",-,"1,67",-,-,-,-,-,433,-,-,-,-,-,-,-,-,-,-,-,-,-,333,-,-,-,-,-,-,-,-,-,-,-,"1,667",-,-,"8,00"
1385,"Saus, Campbell's, Kalkun","89,80",42,"1,69","1,69","1,73","5,08",-,"1,69",-,-,-,-,-,458,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,847",-,-,-
1386,"Saus, Franco-American, Daging Sapi, Daging Panggang Lambat, Bebas Lemak","89,60",34,"1,69",-,"3,62","5,08",-,-,-,-,-,-,-,508,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"8,00"
1387,"Saus, Franco-American, Ayam, Daging Panggang Lambat, Bebas Lemak","91,20",34,"1,69",-,"0,33","6,78",-,-,-,-,-,-,-,424,-,-,-,-,-,-,-,-,-,-,-,-,-,169,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"8,00"
1388,"Saus, Franco-American, Daging Sapi, Daging Panggang Lambat","89,50",42,"1,69","0,85","2,87","5,08",-,-,-,-,-,-,-,525,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"8,00"
1389,"Saus, Franco-American, Ayam, Panggang Lambat","90,50",34,"1,69","0,85","1,87","5,08",-,-,-,-,-,-,-,407,-,-,-,-,-,-,-,-,-,-,-,-,-,169,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"8,00"
1390,"Saus, Franco-American, Kalkun, Daging Panggang Lambat","88,60",42,"1,69","0,85","2,08","6,78",-,-,-,-,-,-,-,542,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"8,00"
1391,"Saus, Campbell's, Kalkun, Microwave","89,60",42,"1,67","1,67","2,07","5,00",-,"1,67",-,-,-,-,-,450,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,833",-,-,-
1392,"Campbell's Merah dan Putih, Krim Sup Brokoli, Kental","84,80",73,"1,61","4,03","0,30","9,68","0,8","2,42",16,"0,29",-,-,77,605,-,-,-,-,"1,0",-,-,-,-,-,-,-,-,242,-,-,-,-,-,-,-,-,-,-,-,"1,210","0,806","2,016","4,00"
1393,"Campbell's Merah dan Putih, Krim Sup Seledri, Kental","84,40",73,"0,81","4,84","2,70","7,26","2,4","0,81",16,-,-,-,460,516,-,-,-,-,-,-,-,-,-,-,-,-,-,242,-,-,-,-,-,-,-,-,-,-,-,"0,806","2,823","1,210","4,00"
1394,"Campbell's, Cream of Chicken Soup, Kental","82,45",103,"1,76","7,98","1,75","6,03","4,1","0,33",13,"0,27",4,28,49,624,"0,14",-,-,-,-,-,-,-,-,-,-,-,-,197,-,-,-,-,-,-,-,-,-,-,-,"2,110","3,750","1,740","9,00"
1395,"Campbell's, Krim Ayam dengan Sup Herbal, Kental","84,30",65,"1,61","3,23","3,60","7,26",-,"0,81",-,-,-,-,-,645,-,-,-,-,-,-,-,-,-,-,-,-,-,403,-,-,-,-,-,-,-,-,-,-,-,"1,210","1,210","0,806","8,00"
1396,"Campbell's, Cream of Mushroom Soup, Kental","84,76",81,"1,29","5,50","1,87","6,59","0,6","0,40",8,"0,16",3,19,67,697,"0,11","0,024","0,036","2,9","0,5","0,010","0,017","0,363","0,148","0,018",-,4,-,8,-,2,-,1,-,-,6,"0,58","0,2",9,"22,5","0,951","1,284","3,155",-
1397,"Campbell's, Krim Jamur dengan Sup Bawang Putih Sangrai, Kental","86,20",56,"1,61","2,02","2,11","8,06","1,6","0,81",16,-,-,-,484,387,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,806","0,403","0,806","4,00"
1398,"Campbell's Merah dan Putih, Krim Sup Bawang, Kental","82,20",81,"0,81","4,84","4,09","8,06","2,4","3,23",-,-,-,-,48,645,-,-,-,-,-,-,-,-,-,-,-,-,-,161,-,-,-,-,-,-,-,-,-,-,-,"1,210","1,210","2,419","4,00"
1399,"Campbell's, Cream of Potato Soup, Kental","82,00",71,"1,51","1,35","1,82","13,25","1,3","1,44",17,"0,34",13,41,165,604,"0,15",-,-,-,"0,2",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,340","0,280","0,630","1,00"
1400,"Campbell's Merah dan Putih, Krim Sup Udang, Kental","85,80",81,"2,42","4,84","0,50","6,45",-,-,-,-,-,-,24,694,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,613","0,806","2,419","16,00"
1401,"Campbell's Merah dan Putih, Sup Mie Ayam Krim, Kental","79,10",97,"3,23","5,65","3,16","8,87","3,2","0,81",16,"0,29",-,-,56,702,-,-,-,-,-,-,-,-,-,-,-,-,-,806,-,-,-,-,-,-,-,-,-,-,-,"1,210","1,210","2,419","12,00"
1402,"Campbell's Merah dan Putih, Sup Scooby-Doo, Kental","85,70",56,"2,38","1,59","1,50","8,73","0,8","0,79",16,"0,57",-,-,40,627,-,-,-,-,-,-,-,-,-,-,-,-,-,397,-,-,-,-,-,-,-,-,-,-,-,"0,397","0,794","0,397","4,00"
1403,"Campbell's Merah dan Putih, Noodle Ganda dalam Sup Kaldu Ayam, Kental","79,50",87,"2,38","1,59","0,66","15,87","0,8","0,79",-,"0,57",-,-,667,381,-,-,-,-,-,-,-,-,-,-,-,-,-,397,-,-,-,-,-,-,-,-,-,-,-,"0,397","0,794","0,397","8,00"
1404,"Campbell's Merah dan Putih, Sup Nasi Tomat Kuno, Kental","74,50",87,"0,79","1,59","4,87","18,25","0,8","7,94",-,"0,29",-,-,119,611,-,-,-,-,"1,9",-,-,-,-,-,-,-,-,397,-,-,-,-,-,-,-,-,-,-,-,"0,397",-,"0,397",-
1405,"Campbell's Merah dan Putih, Sup Keju Fiesta Nacho, Kental","80,30",97,"2,42","6,45","2,76","8,06","0,8","1,61",65,-,-,-,81,637,-,-,-,-,-,-,-,-,-,-,-,-,-,403,-,-,-,-,-,-,-,-,-,-,-,"2,419","1,613","1,613","8,00"
1406,"Campbell's Merah dan Putih, Sup Bawang Prancis, Kental","91,00",36,"1,59","1,19","1,46","4,76","0,8","3,17",16,-,-,-,444,516,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,794",-,"0,397","4,00"
1407,"Campbell's Merah dan Putih, Sup Jamur Emas, Kental","87,20",65,"1,61","2,82","0,72","8,06","0,8","0,81",-,-,-,-,548,524,-,-,-,-,-,-,-,-,-,-,-,-,-,403,-,-,-,-,-,-,-,-,-,-,-,"0,806","0,403","1,210",-
1408,"Campbell's Merah dan Putih, Pasta Emas dengan Chicken In Chicken Broth, Kental","85,70",63,"2,38","1,59","0,80","9,52","0,8","0,79",-,"0,29",-,-,429,381,-,-,-,-,-,-,-,-,-,-,-,-,-,397,-,-,-,-,-,-,-,-,-,-,-,"0,397","0,794","0,397","4,00"
1409,"Sup, Tomat Bisque, Kalengan, Disiapkan dengan Susu Volume yang Sama","81,51",79,"2,51","2,63","1,63","11,73","0,2",-,74,"0,35",10,69,241,442,"0,25","0,056","0,103",-,"2,8","0,045","0,107","0,499","0,200","0,056",9,-,"0,17",350,25,9,-,-,-,-,-,-,-,-,-,"1,250","0,750","0,490","9,00"
1410,"Sup, Tomat, Kalengan, Disiapkan dengan Susu Rendah Lemak dengan Volume yang Sama (2%)","85,15",55,"2,42","1,24","1,38","9,82","0,5","6,59",68,"0,30",13,63,343,206,"0,34","0,027","0,074","2,7","6,3","0,041","0,103","0,461",-,"0,061",2,15,"0,28",287,38,29,-,115,-,5.261,43,"0,18","0,6",25,"1,6","0,707","0,356","0,113","4,00"
1411,"Campbell's Merah dan Putih, Sup Kacang Hijau, Kental","66,80",141,"7,03","2,34","1,95","21,88","3,1","4,69",16,"1,13",-,-,305,680,-,-,-,-,-,-,-,-,-,-,-,-,-,156,-,-,-,-,-,-,-,-,-,-,-,"0,781","0,391","0,781",-
1412,"Campbell's, Homestyle Chicken Noodle Soup, Kental","85,90",51,"2,36","1,28","2,29","7,53","0,8","1,11",11,"0,38",8,43,22,739,"0,15",-,-,-,"0,1",-,-,-,-,-,-,-,-,446,-,-,-,-,-,-,-,-,-,-,-,"0,340","0,560","0,310","8,00"
1413,"Campbell's Merah dan Putih, Manhattan Clam Chowder, Kental","86,40",48,"1,59","0,40","2,09","9,52","1,6","1,59",16,"0,57",-,-,198,698,-,-,-,-,"1,0",-,-,-,-,-,-,-,-,794,-,-,-,-,-,-,-,-,-,-,-,"0,397",-,-,-
1414,"Campbell's Merah dan Putih, Mega Noodle dalam Chicken Broth, Kental","82,80",71,"2,38","1,59","1,33","11,90","0,8","0,79",-,"0,57",-,-,437,381,-,-,-,-,-,-,-,-,-,-,-,-,-,595,-,-,-,-,-,-,-,-,-,-,-,"0,397","0,794","0,397","12,00"
1415,"Campbell's Merah dan Putih, Sup Minestrone, Kental","79,70",71,"3,17","0,79","2,84","13,49","2,4","2,38",16,"0,86",-,-,833,516,-,-,-,-,-,-,-,-,-,-,-,-,-,794,-,-,-,-,-,-,-,-,-,-,-,"0,397",-,-,"4,00"
1416,"Campbell's Merah dan Putih, New England Clam Chowder, Kental","83,30",71,"3,17","1,98","1,22","10,32","0,8","0,79",16,"0,57",-,-,516,516,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,397",-,"1,190","4,00"
1417,"Merah dan Putih, Sup Sayuran Vegetarian Campbell, Kental","81,60",71,"2,38","0,40","1,34","14,29","1,6","4,76",16,"0,57",-,-,698,516,-,-,-,-,-,-,-,-,-,-,-,-,-,1.984,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1418,"Campbell's Merah dan Putih, Soup Sayuran, Kental","78,70",79,"3,17","0,40","1,06","16,67","2,4","5,56",16,"0,57",-,-,579,516,-,-,-,-,-,-,-,-,-,-,-,-,-,2.381,-,-,-,-,-,-,-,-,-,-,-,"0,397",-,-,"4,00"
1419,"Campbell's, Sup Daging Sapi Sayur, Kental","82,00",65,"3,79","0,26","2,09","11,80","2,1","1,70",13,"0,60",5,20,169,656,"0,64",-,-,-,"1,2",-,-,-,-,-,-,-,-,601,-,-,-,-,-,-,-,-,-,-,-,"0,090","0,100","0,070","3,00"
1420,"Campbell's, Sup Tomat, Kental","80,79",71,"1,46","0,44","2,09","15,22","1,1","8,23",13,"0,59",14,31,562,377,"0,18","0,050","0,138","3,0","4,8","0,042","0,015","0,858",-,-,-,-,-,323,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1421,"Campbell's Merah dan Putih, Tomato Bisque, Kental","75,40",103,"1,59","2,78","1,98","18,25","0,8","11,90",32,"0,29",-,-,-,698,-,-,-,-,"4,8",-,-,-,-,-,-,-,-,238,-,-,-,-,-,-,-,-,-,-,-,"1,190","0,397","0,794","4,00"
1422,"Campbell's Merah dan Putih, Split Kacang dengan Ham dan Sup Daging, Kental","66,00",141,"7,81","1,56","1,19","23,44","3,1","3,13",16,"1,13",-,-,352,664,-,-,-,-,-,-,-,-,-,-,-,-,-,234,-,-,-,-,-,-,-,-,-,-,-,"0,391","0,781","0,391","4,00"
1423,"Sup Chunky Campbell, Kentang Panggang dengan Sup Cheddar & Bacon Bits","83,80",78,"2,04","3,67","1,50","9,39","0,8","1,25",16,"0,29",-,-,-,322,-,-,-,-,-,-,-,-,-,-,-,-,-,41,-,-,-,-,-,-,-,-,-,-,-,"1,224",-,-,"4,00"
1424,"Sup Chunky Campbell's, Kentang Panggang dengan Steak & Sup Keju","82,30",82,"3,27","4,08","1,37","8,57","1,2","1,22",8,"0,59",-,-,-,343,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,020",-,-,"6,00"
1425,"Sup Chunky Campbell's, Daging Sapi Tulang Panggang dengan Sup Kentang & Herbal","87,70",44,"2,86","0,41","1,69","6,94","0,8","2,45",8,"0,29",-,-,-,363,-,-,-,-,"0,5",-,-,-,-,-,-,-,-,918,-,-,-,-,-,-,-,-,-,-,-,"0,408",-,-,"4,00"
1426,"Sup Chunky Campbell's, Daging Sapi dengan Sup Sayuran Pedesaan","85,30",53,"3,27","1,22","2,60","7,35","1,2","1,63",8,"0,59",-,-,-,376,-,-,-,-,-,-,-,-,-,-,-,-,-,2.449,-,-,-,-,-,-,-,-,-,-,-,"0,408",-,-,"6,00"
1427,"Sup Chunky Campbell's, Daging Sapi dengan Sup Nasi Putih dan Liar","84,30",57,"3,27","0,61","1,62","9,80","0,8","2,04",8,"0,44",-,-,-,363,-,-,-,-,-,-,-,-,-,-,-,-,-,1.02,-,-,-,-,-,-,-,-,-,-,-,"0,204",-,-,"4,00"
1428,"Sup Chunky Campbell's, Chicken Creamy and Soup Dumplings","85,59",66,"2,32","3,19","1,50","7,09","1,5","1,09",16,"0,49",18,36,50,339,"0,28",-,-,-,-,-,-,-,-,-,-,-,-,716,-,-,-,-,-,-,-,-,-,-,-,"0,680","0,560","1,950","12,00"
1429,"Sup Chunky Campbell, Keju Brokoli Ayam & Sup Kentang","83,22",86,"2,86","4,49","1,24","8,16","1,2","2,45",8,-,-,-,-,359,-,-,-,-,-,-,-,-,-,-,-,-,-,204,-,-,-,-,-,-,-,-,-,-,-,"1,633",-,-,"8,00"
1430,"Sup Chunky Campbell's, Chowder Jagung Ayam","83,80",82,"2,86","4,08","1,10","8,16","0,8","1,22",8,"0,29",-,-,-,351,-,-,-,-,-,-,-,-,-,-,-,-,-,816,-,-,-,-,-,-,-,-,-,-,-,"1,224",-,-,"6,00"
1431,"Sup Chunky Campbell's, Sup Mie Ayam Klasik","88,90",47,"3,41","1,30","0,98","5,41","1,0","0,41",11,"0,34",7,35,90,325,"0,18","0,025","0,058","5,7",-,"0,017","0,023","1,352",-,-,-,-,-,-,-,-,20,198,-,-,-,-,-,-,-,"0,408",-,-,"8,00"
1432,"Sup Chunky Campbell's, Fajita Chicken With Rice & Beans Soup","83,90",53,"2,86","0,61","2,90","9,39","0,8","2,86",8,"0,44",-,-,-,347,-,-,-,-,-,-,-,-,-,-,-,-,-,1.224,-,-,-,-,-,-,-,-,-,-,-,"0,204",-,-,"6,00"
